Gene	SJMMALZ058765_G1	SJMMALZ058766_G1	SJMMALZ058768_G1	SJMMALZ058769_G1	SJMMALZ058771_G1	SJMMALZ058772_G1	SJMMALZ058773_G1	SJMMALZ058774_G1	SJMMALZ058775_G1	SJMMALZ058776_G1	SJMMALZ058778_G1	SJMMALZ058779_G1	SJMMALZ058780_G1	SJMMALZ058781_G1	SJMMALZ058782_G1
ENSMUSG00000039361	23145	23668	27445	24838	15039	20127	19087	20956	25575	34572	13748	32140	22482	27092	14049
ENSMUSG00000039364	0	0	0	1	0	0	4	0	0	8	1	0	5	0	3
ENSMUSG00000068303	0	3	2	3	0	0	8	4	0	3	9	8	8	1	2
ENSMUSG00000001018	6664	6084	8344	8552	4586	6385	6128	6414	7930	10261	4659	10003	7572	7691	4673
ENSMUSG00000068302	3	4	6	6	1	6	3	6	4	2	0	5	5	6	1
ENSMUSG00000061510	73	11	63	24	15	8	25	31	42	44	11	39	46	49	31
ENSMUSG00000039367	17525	18604	20293	22173	11028	14950	14361	14218	16384	21704	11456	18779	16578	18064	11168
ENSMUSG00000061517	1417	1840	1610	2683	846	1143	1634	1048	1031	1732	1144	2161	1247	1549	1081
ENSMUSG00000061518	20938	20240	22835	26377	13988	18980	16830	20746	20782	27946	14149	24790	19654	20129	13779
ENSMUSG00000003271	899	1282	1276	1702	937	938	1142	1144	825	1442	703	1100	1212	1232	829
ENSMUSG00000003273	31584	27143	30111	36458	15963	22425	21658	22280	23824	32870	18900	31496	20621	21486	17176
ENSMUSG00000001017	23786	25364	28925	29956	15292	21381	19865	21305	26042	32572	16288	28927	22363	23409	15283
ENSMUSG00000001016	11701	12564	14714	14340	8684	11291	10098	11355	12142	16012	8164	14059	11226	11961	7757
ENSMUSG00000003279	89310	103894	118403	100534	71501	94346	76521	90673	84042	122171	70500	82801	86231	83923	58077
ENSMUSG00000001014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000039372	4780	6442	5144	7557	2775	3616	3472	2591	3278	4304	3139	4328	3418	2763	2824
ENSMUSG00000061501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000039377	126	67	173	200	51	172	67	195	244	459	85	453	222	280	86
ENSMUSG00000039376	53	68	69	74	23	38	69	79	68	80	29	64	59	50	19
ENSMUSG00000039375	5862	6658	7448	6608	4410	6148	4625	5046	5621	7779	3955	6412	4951	5277	3558
ENSMUSG00000012848	15478	15282	19358	23049	10172	13113	15106	16591	21074	29244	11308	26697	16744	20419	10000
ENSMUSG00000003269	12379	12992	15321	15860	9305	12008	10603	12095	12735	16747	8672	14210	11653	12145	8327
ENSMUSG00000039385	492	389	533	288	452	624	211	1037	1146	1088	203	364	353	770	168
ENSMUSG00000039382	5770	6326	7692	8169	4006	5391	5358	5407	5959	8185	4350	6921	5314	5768	4139
ENSMUSG00000039384	1237	878	1326	1171	734	971	944	1262	1332	1324	656	1604	1025	1356	665
ENSMUSG00000010592	879	623	892	777	424	656	537	564	732	877	489	940	576	584	420
ENSMUSG00000040701	1401	1397	1553	1982	799	1162	1228	1047	1276	1826	847	1783	1166	1545	791
ENSMUSG00000040705	91	48	99	88	50	83	83	84	108	107	45	84	68	58	46
ENSMUSG00000012819	124	134	144	211	90	238	148	153	180	342	182	354	181	302	134
ENSMUSG00000040706	381	236	426	310	318	346	304	523	349	492	293	412	475	306	350
ENSMUSG00000001034	3591	3401	4479	5270	2319	3758	3181	3513	4640	6275	2933	4952	3039	3980	2408
ENSMUSG00000040703	1481	465	692	428	532	579	667	809	598	786	306	767	772	788	497
ENSMUSG00000039391	153	148	145	184	67	96	163	79	265	151	93	239	98	173	77
ENSMUSG00000003299	5778	5371	6024	7115	3529	4513	4320	4795	4937	7554	3588	6113	5368	5203	3276
ENSMUSG00000001039	1737	1778	2263	2669	1188	1623	1390	1467	1966	2564	1195	2149	1560	1689	921
ENSMUSG00000001036	24122	28273	27715	32131	15500	21988	21889	19555	23539	32352	17193	30466	21576	22861	15785
ENSMUSG00000001029	570	474	373	680	224	264	354	282	324	491	235	465	547	261	224
ENSMUSG00000039396	3	4	10	8	6	8	11	13	21	28	2	27	14	8	1
ENSMUSG00000039395	822	878	1014	606	629	890	679	916	896	1099	557	915	670	879	658
ENSMUSG00000003283	394	357	427	538	147	197	312	388	525	1225	213	802	469	713	195
ENSMUSG00000003282	247	156	277	182	168	320	112	348	503	612	167	336	234	455	121
ENSMUSG00000001020	152	121	180	164	77	152	147	167	359	281	93	366	137	414	130
ENSMUSG00000001021	54	82	99	112	24	67	70	29	71	94	36	97	67	57	34
ENSMUSG00000001023	7	46	9	81	3	55	4	4	0	23	17	127	12	4	38
ENSMUSG00000001025	1348	2053	2095	2491	1002	1541	1601	1265	2277	3308	1792	3763	1984	3099	1101
ENSMUSG00000001027	0	5	4	2	1	3	9	6	9	8	0	12	7	6	4
ENSMUSG00000039323	5581	5315	5142	7264	2334	4064	2877	4424	14544	4875	3322	5940	3698	3527	3019
ENSMUSG00000039328	523	515	458	708	271	402	596	448	881	1157	214	1284	560	964	324
ENSMUSG00000039329	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
ENSMUSG00000039321	8	16	21	20	2	4	1	0	11	25	19	17	1	7	0
ENSMUSG00000001056	3051	3209	3184	4451	2085	2648	2454	2569	3035	3790	1992	3783	2882	2598	1838
ENSMUSG00000001054	7760	8969	9038	10973	5263	6420	6589	6831	6410	10087	5161	8444	7150	6918	4894
ENSMUSG00000001052	11877	13678	15382	15175	9001	11848	10642	11315	12243	16706	8746	13731	12088	12896	7700
ENSMUSG00000001053	1820	3059	1973	3896	1732	2162	2301	1417	1671	3152	1577	2688	2256	1746	1660
ENSMUSG00000039337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000039335	12	11	18	21	0	13	3	4	1	9	5	7	7	6	1
ENSMUSG00000039339	4	10	13	8	21	25	5	19	19	16	1	9	7	8	3
ENSMUSG00000039330	4	3	17	27	3	10	7	8	6	14	7	15	8	9	3
ENSMUSG00000012889	7	12	7	8	9	15	12	7	11	33	3	8	1	12	0
ENSMUSG00000039349	14583	14640	19715	14350	11897	15075	12005	17046	10407	18376	10555	13928	12732	11992	10446
ENSMUSG00000039345	2256	2216	2638	2979	1585	2013	1917	2083	2153	3160	1635	2620	2278	2176	1538
ENSMUSG00000039347	56968	66243	71961	76781	40293	56778	47948	51537	56219	75032	43477	64493	55285	52836	40022
ENSMUSG00000039342	5	0	0	2	1	1	1	2	7	2	1	7	4	0	0
ENSMUSG00000001076	1	0	0	1	0	8	0	0	8	0	0	0	1	0	1
ENSMUSG00000039358	197	371	284	369	194	276	172	100	176	306	205	302	140	156	214
ENSMUSG00000039356	2249	2578	2790	3288	1614	2185	1846	1978	2528	3145	1551	2796	2260	2030	1449
ENSMUSG00000039357	3292	3551	3981	3574	2122	2888	2708	3046	3537	4415	1910	3552	2877	3527	2063
