run_accession	experiment_alias	sample_title
SRR5381788	GSM2551892	1M F1 AD
SRR5381789	GSM2551893	1M F2 AD
SRR5381790	GSM2551894	1M F3 AD
SRR5381791	GSM2551895	1M F4 AD
SRR5381792	GSM2551896	1M F5 AD
SRR5381793	GSM2551897	1M M1 AD
SRR5381794	GSM2551898	1M M2 AD
SRR5381795	GSM2551899	1M M3 AD
SRR5381796	GSM2551900	1M M4 AD
SRR5381797	GSM2551901	1M M5 AD
SRR5381798	GSM2551902	2M F1 AD
SRR5381799	GSM2551903	2M F2 AD
SRR5381800	GSM2551904	2M F3 AD
SRR5381801	GSM2551905	2M F4 AD
SRR5381802	GSM2551906	2M F5 AD
SRR5381803	GSM2551907	2M M1 AD
SRR5381804	GSM2551908	2M M2 AD
SRR5381805	GSM2551909	2M M3 AD
SRR5381806	GSM2551910	2M M4 AD
SRR5381807	GSM2551911	2M M5 AD
SRR5381808	GSM2551912	4M F1 AD
SRR5381809	GSM2551913	4M F2 AD
SRR5381810	GSM2551914	4M F3 AD
SRR5381811	GSM2551915	4M F4 AD
SRR5381812	GSM2551916	4M F5 AD
SRR5381813	GSM2551917	4M M1 AD
SRR5381814	GSM2551918	4M M2 AD
SRR5381815	GSM2551919	4M M3 AD
SRR5381816	GSM2551920	4M M4 AD
SRR5381817	GSM2551921	4M M5 AD
